,USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,Year,Month,Day
3063,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,35.3,16.0,52.0,16.2,0.0,2.7,8.9,,0,,0,2018,4,22
3064,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,38.9,16.0,63.0,14.3,0.0,2.3,7.0,,0,,0,2018,4,23
3065,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,45.0,16.0,64.9,21.3,0.0,3.9,13.0,19.0,0,,0,2018,4,24
3066,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,47.1,41.0,53.1,40.3,0.0,2.7,7.0,,1,,0,2018,4,25
3067,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,42.8,39.0,54.0,42.1,0.82,5.6,11.1,,1,,0,2018,4,26
3068,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,41.5,28.0,52.0,38.0,0.02,3.7,8.9,,1,,0,2018,4,27
3069,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,41.0,28.0,57.0,38.0,0.02,2.3,9.9,17.1,1,,0,2018,4,28
3070,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,36.9,28.0,57.0,36.9,0.21,1.8,5.1,,1,,1,2018,4,29
3071,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,30.3,17.1,43.0,20.5,0.0,3.3,14.0,,0,,1,2018,4,3
3072,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,35.7,32.0,42.1,34.9,0.9,2.8,6.0,,1,,1,2018,4,30
3073,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,36.1,19.9,46.0,33.9,0.34,7.6,25.1,42.0,1,,1,2018,4,4
